,Date,Network,Impressions,Engagements,Engagement Rate,Post ID
231,10/27/2020 16:12,Facebook,463,2.0,0.004319654427645789,82777273087_10158763813538088
234,4/26/2020 18:27,Facebook,1524,2.0,0.0013123359580052493,82777273087_10158253365033088
236,1/19/2020 10:22,Facebook,1979,6.0,0.003031834259727135,82777273087_10157924967273088
239,3/3/2020 15:58,Facebook,1501,3.0,0.001998667554963358,82777273087_10158059762988088
241,11/2/2020 11:50,Facebook,1195,6.0,0.00502092050209205,82777273087_10158778096573088
243,12/21/2020 14:10,Facebook,1487,7.0,0.004707464694014795,82777273087_10158890178278088
244,1/6/2020 10:10,Facebook,2404,72.0,0.029950083194675542,82777273087_10157887411328088
245,4/9/2020 10:40,Facebook,1778,1.0,0.0005624296962879641,82777273087_10158186284313088
248,3/29/2020 10:53,Facebook,2212,4.0,0.0018083182640144665,82777273087_10158148210468088
249,11/23/2020 13:52,Facebook,1467,7.0,0.004771642808452625,82777273087_10158826772498088
251,2/15/2020 10:04,Facebook,1831,21.0,0.011469142545057346,82777273087_10158009379078088
256,2/24/2020 15:58,Facebook,1544,16.0,0.010362694300518135,82777273087_10158036596888088
259,4/25/2020 15:17,Facebook,2007,6.0,0.0029895366218236174,82777273087_10158248920673088
261,2/10/2020 11:53,Facebook,2795,38.0,0.013595706618962432,82777273087_10157994554018088
264,4/30/2020 11:33,Facebook,1283,3.0,0.002338269680436477,82777273087_10158266738088088
267,12/14/2020 9:07,Facebook,704,5.0,0.007102272727272727,82777273087_10158873286468088
269,4/14/2020 19:42,Facebook,1658,6.0,0.0036188178528347406,82777273087_10158206152548088
270,2/29/2020 10:21,Facebook,1933,4.0,0.0020693222969477496,82777273087_10158050224403088
272,1/30/2020 9:51,Facebook,1783,8.0,0.00448681996634885,82777273087_10157959894228088
274,9/8/2020 13:39,Facebook,1638,9.0,0.005494505494505495,82777273087_10158645868143088
277,12/23/2020 13:37,Facebook,1905,9.0,0.004724409448818898,82777273087_10158894373453088
278,11/25/2020 13:44,Facebook,1493,7.0,0.004688546550569324,82777273087_10158830926983088
279,5/2/2020 18:00,Facebook,1900,5.0,0.002631578947368421,82777273087_10158274952233088
282,2/8/2020 17:42,Facebook,2549,36.0,0.014123185562965868,82777273087_10157989476583088
287,9/25/2020 10:40,Facebook,1342,5.0,0.0037257824143070045,82777273087_10158687521228088
