,Date,Network,Impressions,Engagements,Engagement Rate,Post ID
839,2020-09-08 19:10:00,Twitter,1027,17.0,0.016553067185978577,1303516033890824193
841,2020-06-11 10:28:00,Twitter,1690,28.0,0.016568047337278107,1271132092810891265
842,2020-08-11 20:37:00,Twitter,1207,20.0,0.016570008285004142,1293391060367015938
844,2020-04-03 11:59:00,Twitter,1323,22.0,0.016628873771730914,1246150232066457600
851,2020-01-03 17:20:00,Twitter,3681,62.0,0.016843249117087747,1213268854903885824
852,2020-12-05 10:07:00,Twitter,1840,31.0,0.01684782608695652,1335284560368693250
854,2020-12-20 07:15:00,Twitter,710,12.0,0.016901408450704224,1340677123846021120
857,2020-07-24 10:12:00,Twitter,1359,23.0,0.01692420897718911,1286710770496086025
860,2020-04-12 18:05:00,Twitter,1470,25.0,0.017006802721088437,1249503825964216322
863,2020-05-16 14:57:00,Twitter,2880,49.0,0.017013888888888887,1261777725049769984
869,2020-06-08 14:57:00,Twitter,1280,22.0,0.0171875,1270112638584983552
871,2020-09-09 13:10:00,Twitter,984,17.0,0.017276422764227643,1303787784147263489
872,2020-10-06 10:49:00,Twitter,868,15.0,0.01728110599078341,1313536842197852161
877,2020-02-21 22:00:00,Twitter,1558,27.0,0.017329910141206675,1231096305654562817
880,2020-05-12 13:45:00,Twitter,2523,44.0,0.01743955608402695,1260310039274930184
881,2020-09-02 16:08:00,Twitter,1031,18.0,0.01745877788554801,1301295846219079680
884,2020-12-23 10:07:00,Twitter,1313,23.0,0.017517136329017517,1341807553156669442
886,2020-06-28 15:10:00,Twitter,1880,33.0,0.017553191489361703,1277363651729592323
890,2020-11-08 15:50:00,Twitter,1079,19.0,0.017608897126969416,1325586406190833664
893,2020-03-27 13:36:00,Twitter,1585,28.0,0.017665615141955835,1243637922068336643
896,2020-10-09 10:36:00,Twitter,789,14.0,0.017743979721166033,1314620647004344320
899,2020-12-01 15:47:00,Twitter,1124,20.0,0.017793594306049824,1333920572762443778
901,2020-04-07 13:29:00,Twitter,899,16.0,0.017797552836484983,1247622427770748935
902,2020-09-10 08:43:00,Twitter,955,17.0,0.01780104712041885,1304082967875256321
903,2020-08-17 18:57:00,Twitter,1067,19.0,0.01780693533270853,1295540167877558274
905,2020-10-24 20:12:00,Twitter,952,17.0,0.017857142857142856,1320201418050064388
907,2020-09-23 16:12:00,Twitter,950,17.0,0.017894736842105262,1308907002232532994
911,2020-10-26 17:15:00,Twitter,946,17.0,0.017970401691331923,1320881663048515585
913,2020-11-22 19:12:00,Twitter,1278,23.0,0.017996870109546165,1330710665171005440
914,2020-12-08 15:51:00,Twitter,1166,21.0,0.018010291595197257,1336458300091674625
921,2020-05-09 23:32:00,Twitter,2424,44.0,0.018151815181518153,1259370587664928768
928,2020-10-25 07:45:00,Twitter,1412,26.0,0.018413597733711047,1320375836877443074
929,2020-02-28 15:44:00,Twitter,2549,47.0,0.018438603373872108,1233538378118967299
930,2020-06-22 09:19:00,Twitter,1570,29.0,0.018471337579617834,1275101072680456193
934,2020-04-11 18:24:00,Twitter,1779,33.0,0.01854974704890388,1249146221505249280
941,2020-10-15 10:44:00,Twitter,801,15.0,0.018726591760299626,1316796995487567873
945,2020-05-04 11:03:00,Twitter,1859,35.0,0.018827326519634213,1257370163420311553
948,2020-06-19 10:42:00,Twitter,2442,46.0,0.018837018837018837,1274034730544005122
951,2020-10-18 21:51:00,Twitter,847,16.0,0.018890200708382526,1318052004770492417
955,2020-12-28 06:45:00,Twitter,790,15.0,0.0189873417721519,1343568660984721410
965,2020-07-31 18:42:00,Twitter,1202,23.0,0.01913477537437604,1289375810139217920
966,2020-06-18 15:58:00,Twitter,1253,24.0,0.019154030327214685,1273751850274168832
972,2020-04-13 21:50:00,Twitter,1661,32.0,0.01926550270921132,1249922896664891393
973,2020-08-07 09:58:00,Twitter,1037,20.0,0.019286403085824494,1291780652866711556
977,2020-05-08 21:52:00,Twitter,2324,45.0,0.0193631669535284,1258983068876013571
979,2020-09-11 14:46:00,Twitter,1032,20.0,0.01937984496124031,1304536702258683904
982,2020-01-27 23:35:00,Twitter,3336,65.0,0.01948441247002398,1222060524302733313
985,2020-11-03 18:51:00,Twitter,2147,42.0,0.019562179785747556,1323820010998059011
996,2020-04-19 18:27:00,Twitter,1606,32.0,0.019925280199252802,1252046149495721985
997,2020-07-28 23:19:00,Twitter,999,20.0,0.02002002002002002,1288358403673333761
1000,2020-09-14 09:39:00,Twitter,1147,23.0,0.02005231037489102,1305546613142806531
1003,2020-09-15 11:00:00,Twitter,1393,28.0,0.020100502512562814,1305929493522063362
1006,2020-02-08 07:45:00,Twitter,2672,54.0,0.020209580838323353,1226170095703089153
1008,2020-10-14 16:55:00,Twitter,840,17.0,0.02023809523809524,1316527971923095558
1009,2020-04-16 09:41:00,Twitter,3902,79.0,0.020246027678113787,1250826779616575491
1011,2020-11-14 16:09:00,Twitter,1234,25.0,0.02025931928687196,1327765513636884482
1018,2020-03-09 19:04:00,Twitter,2801,57.0,0.02034987504462692,1237197489389867013
1021,2020-03-30 18:44:00,Twitter,2495,51.0,0.020440881763527055,1244802669463601152
1022,2020-09-20 15:06:00,Twitter,977,20.0,0.02047082906857728,1307803223059763205
1028,2020-05-01 21:51:00,Twitter,1797,37.0,0.020589872008903727,1256446066699927552
1029,2020-12-28 18:55:00,Twitter,1019,21.0,0.020608439646712464,1343752354596843521
1030,2020-12-25 14:22:00,Twitter,1261,26.0,0.020618556701030927,1342596486887075840
1033,2020-07-06 09:13:00,Twitter,2749,57.0,0.020734812659148782,1280172942014459913
1042,2020-02-19 10:26:00,Twitter,2146,45.0,0.02096924510717614,1230196867943817216
1043,2020-12-11 06:51:00,Twitter,1906,40.0,0.02098635886673662,1337409726724923393
1048,2020-07-11 20:24:00,Twitter,1137,24.0,0.021108179419525065,1282153714875281408
1053,2020-07-16 21:45:00,Twitter,1226,26.0,0.021207177814029365,1283986075329978370
1054,2020-10-14 15:49:00,Twitter,800,17.0,0.02125,1316511354958774274
1064,2020-12-21 06:51:00,Twitter,1115,24.0,0.021524663677130046,1341033444307070981
1066,2020-08-04 23:38:00,Twitter,1249,27.0,0.021617293835068056,1290899852084285440
1067,2020-10-31 11:07:00,Twitter,1572,34.0,0.021628498727735368,1322600985236262913
1074,2020-12-14 18:54:00,Twitter,914,20.0,0.02188183807439825,1338678673008975873
1075,2020-12-18 14:08:00,Twitter,2877,63.0,0.021897810218978103,1340056345169444864
1076,2020-12-21 16:14:00,Twitter,1003,22.0,0.02193419740777667,1341175125329272835
