Date,Post ID,Network,Post Type,Content Type,Profile,Sent by,Link,Post,Linked Content,Impressions,Organic Impressions,Paid Impressions,Reach,Organic Reach,Paid Reach,Potential Reach,Engagement Rate (per Impression),Engagements,Reactions,Likes,Love Reactions,Haha Reactions,Wow Reactions,Sad Reactions,Angry Reactions,Comments,Shares,Saves,Post Link Clicks,Other Post Clicks,Post Clicks (All),Other Engagements,Negative Feedback,Video Views,Organic Video Views,Paid Video Views,Partial Video Views,Organic Partial Video Views,Paid Partial Video Views,Full Video Views,Organic Full Video Views,Paid Full Video Views,Story Taps Back,Story Taps Forward,Story Exits,Tags
8/17/2020 6:57 pm PDT,1295540167877558274,Twitter,Tweet,Link,academy_of_art,Tiffany Liao,https://twitter.com/academy_of_art/status/1295540167877558274,"Curious about creating your own character? Bring some paper and pencils and join Director of Illustration Chuck Pyle’s workshop to learn how to draw a clothed figure. RSVP to join the workshop tomorrow on August 18, 2020, at 7 pm PDT! https://t.co/y67srpzXz0 🎨:: Yanjia Liu",https://bit.ly/2Q2gAQ8,"1,067",,,,,,"18,466",1.8%,19,3,3,,,,,,1,0,,4,11,15,0,,,,,,,,,,,,,,"Faculty, ILL, workshop"
7/24/2020 11:32 am PDT,6692496564612681728,LinkedIn,Post,Link,Academy of Art University,Jennifer Sacoolas,https://linkedin.com/feed/update/urn:li:activity:6692496565296340993,"Congratulations to a group of #ArtU graduates who showcased their works at the Gojo Short Animation Gallery, a prominent gallery in Kyoto, Japan, as the gallery’s first show of 2020! Read more: https://bit.ly/3iTRyQG",https://bit.ly/3iTRyQG,"1,738",,,,,,,1.8%,31,19,19,,,,,,1,0,,11,,11,,,,,,,,,,,,,,,"ANM, alumni success, www"
10/24/2020 8:12 pm PDT,1320201418050064388,Twitter,Tweet,Link,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1320201418050064388,Congratulations to Zichun (Ritta) Lei from the @AAULandArch for being recognized by the industry experts and winning the Student Merit Award from the Northern California American Society of Landscape Architects (ASLA). Full story: https://t.co/F8QJJkWeyq,https://bit.ly/31icg5A,952,,,,,,"18,484",1.8%,17,3,3,,,,,,0,0,,5,9,14,0,,,,,,,,,,,,,,"LAN, alumni success"
12/20/2020 8:41 am PST,6746464491657150464,LinkedIn,Post,Video,Academy of Art University,Jennifer Sacoolas,https://linkedin.com/feed/update/urn:li:ugcPost:6746464491657150464,"Direct. Produce. Shoot. Edit. Production Design. Write. 

Learn the skills you need to succeed in the film industry. More info: https://bit.ly/3pVnkQI  ",,"3,245",,,,,,,1.8%,58,32,32,,,,,,1,0,,25,,25,,,693,,,,,,0,,,,,,"Curriculum, spring start"
9/23/2020 4:12 pm PDT,1308907002232532994,Twitter,Tweet,Photo,academy_of_art,Tiffany Liao,https://twitter.com/academy_of_art/status/1308907002232532994,Good design should be for everyone -- that’s what the @aauarchitecture’s B.Lab believes in. Check out the latest episode of the Creative Mind podcast to learn more about their projects from Community Outreach Coordinator Sameena Sitabkhan: https://t.co/h665YY8r1D https://t.co/1yybruV1v6,"https://bit.ly/3kC10rV, https://twitter.com/academy_of_art/status/1308907002232532994/photo/1",950,,,,,,"18,459",1.8%,17,1,1,,,,,,0,0,,2,14,16,0,,,,,,,,,,,,,,"ARCH, Academy Cares, Partnership"
8/3/2020 4:06 pm PDT,6696189396514959360,LinkedIn,Post,Link,Academy of Art University,Jennifer Sacoolas,https://linkedin.com/feed/update/urn:li:activity:6696189397198614528,"#5 Your online exams will still be proctored

Learn the difference between online and brick-and-mortar classes with our comprehensive list here: https://bit.ly/33nQRti",https://bit.ly/33nQRti,"1,900",,,,,,,1.8%,34,15,15,,,,,,0,1,,18,,18,,,,,,,,,,,,,,,"Curriculum, Online Education, blog"
1/11/2020 5:56 pm PST,6621942663165943808,LinkedIn,Post,Link,Academy of Art University,Jennifer Sacoolas,https://linkedin.com/feed/update/urn:li:activity:6621942663597953024,"Gaming is the fastest growing industry in entertainment – And it’s just getting started! 🎮
Did you know you could get a degree in this expanding field? Learn what types of classes you’d be taking at our School of Game Development: https://bit.ly/37vzuFN",https://bit.ly/37vzuFN,"2,177",,,,,,,1.8%,39,13,13,,,,,,0,0,,26,,26,,,,,,,,,,,,,,,"GAM, blog, department spotlight"
7/16/2020 4:58 pm PDT,82777273087_10158508082493088,Facebook,Post,Video,Academy of Art University,Tiffany Liao,https://www.facebook.com/82777273087/posts/10158508082493088/,"Guess what? We just hit 50k on Instagram (@academy_of_art)!!  🙌 Thank you to all who have been supporting our #ArtU community. We can’t wait to share more #ArtU news, student artwork, and many more cool things there! Follow us to join in the fun.",https://www.facebook.com/AcademyofArtUniversity/videos/655850995002029/,"2,958","2,958",0,"2,663","2,663",0,,1.8%,53,20,20,0,0,0,0,0,0,2,,,31,31,,1,245,245,0,215,215,0,30,30,0,,,,ArtU
10/26/2020 5:15 pm PDT,1320881663048515585,Twitter,Tweet,Link,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1320881663048515585,#ARTU Athletics Opens Online Apparel Stores Oct. 21-30 #ArtSchool https://t.co/AdDPh8bAGz,https://bit.ly/3dNGhis,946,,,,,,"18,474",1.8%,17,4,4,,,,,,0,0,,8,5,13,0,,,,,,,,,,,,,,"Events, Student Work, athletics"
9/10/2020 3:39 pm PDT,82777273087_10158650937658088,Facebook,Post,Video,Academy of Art University,Jennifer Sacoolas,https://www.facebook.com/82777273087/posts/10158650937658088/,"On Creative Mind by Academy of Art University, we dive in the world of making documentaries. Marjorie Sturm walks us through her film and process for dealing with sensitive subject matter. Executive producer Tod Mesirow explains the art of interviews. We also hear from cinematographer Dave Drum about some first steps into getting into documentary films. Creative Mind features candid conversations with artists, directors, fashion designers, the amazing faculty and alumni from the Academy of Art University and more.",https://www.facebook.com/AcademyofArtUniversity/videos/3310332615720954/,"1,501","1,501",0,"1,386","1,386",0,,1.8%,27,10,10,0,0,0,0,0,0,2,,,15,15,,0,230,230,0,212,212,0,18,18,0,,,,"Faculty, Industry Spotlight, blog, creative mind, study tips"
11/22/2020 7:12 pm PST,1330710665171005440,Twitter,Tweet,Link,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1330710665171005440,We welcome @ARTUWSoccer junior midfielder Reyna Valencia to the #KnightsRoundtable today! Let's meet Reyna! #ArtSchool #BeArtistBeAthlete https://t.co/lNhmjyHCPD,https://bit.ly/2K6EbQa,"1,278",,,,,,"20,882",1.8%,23,9,9,,,,,,0,3,,4,7,11,0,,,,,,,,,,,,,,Student Work
12/8/2020 3:51 pm PST,1336458300091674625,Twitter,Tweet,Photo,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1336458300091674625,"Is it getting cold yet? What's your favorite season? 🌷☀️🍁❄️

""Cold 2"" by @artu_photo's Chad Jenkins. https://t.co/FLotlXVj96",https://twitter.com/academy_of_art/status/1336458300091674625/photo/1,"1,166",,,,,,"18,461",1.8%,21,5,5,,,,,,0,0,,,16,16,0,,,,,,,,,,,,,,Student Work
6/2/2020 9:32 am PDT,82777273087_10158373000898088,Facebook,Post,Link,Academy of Art University,Jennifer Sacoolas,https://www.facebook.com/82777273087/posts/10158373000898088/,Want to know what it takes to receive an industrial design scholarship? See the amazing designs and submissions during our Product & Transportation Design Workshop with Antonio Borja TODAY at 5:30pm PDT. Join us here: https://bit.ly/3bRRNXD,https://bit.ly/3bRRNXD,886,886,0,822,822,0,,1.8%,16,5,5,0,0,0,0,0,0,1,,4,6,10,,1,,,,,,,,,,,,,"Events, Faculty, IDS, workshop"
7/28/2020 1:13 pm PDT,6693971678747332609,LinkedIn,Post,Video,Academy of Art University, ,https://linkedin.com/feed/update/urn:li:ugcPost:6693971678747332609,"Teeming with talented, creative artists, Academy of Art University has a lot to give back to the city. Painting murals is one way of doing so.

Academy of Art University is committed to giving back to the people and communities of San Francisco. Among our contributions to the city are many vivid murals, created by students and alumni for all to enjoy. A team of Academy students hand-painted a vibrant 8-story Mural on Cova Hotel, a local boutique hotel in San Francisco.
",,"3,267",,,,,,,1.8%,59,26,26,,,,,,1,0,,32,,32,,,732,,,,,,0,,,,,,
12/28/2020 7:15 am PST,6749342038577311744,LinkedIn,Post,Video,Academy of Art University,Jennifer Sacoolas,https://linkedin.com/feed/update/urn:li:ugcPost:6749342038577311744,"Who has the only accredited Fashion Styling program in the world? (Hint: We do)

See what our program can offer you: https://bit.ly/3bYLVNS  ",,"2,875",,,,,,,1.8%,52,25,25,,,,,,0,4,,23,,23,,,583,,,,,,0,,,,,,"Curriculum, FSH"
8/11/2020 3:54 pm PDT,6699085478773297152,LinkedIn,Post,Link,Academy of Art University,Tiffany Liao,https://linkedin.com/feed/update/urn:li:activity:6699085479402455040,"Many industries have had to rethink their current policies, systems, and funding in light of the pandemic. Fashion executive director Simon Ungless weighs in his opinions on how to best support designers at this time. Read the feature from The Impression: https://bit.ly/3kAPQV7",https://bit.ly/3kAPQV7,"1,935",,,,,,,1.8%,35,8,8,,,,,,0,1,,26,,26,,,,,,,,,,,,,,,"FSH, Faculty"
10/29/2020 3:15 pm PDT,82777273087_10158768377953088,Facebook,Post,Photo,Academy of Art University,Jennifer Sacoolas,https://www.facebook.com/82777273087/posts/10158768377953088/,"We loved seeing all of your #inktober drawings! Thanks for sharing them with us! 😊

🖼️ by Clark Skocilich, Rodney Thompson and Emily Bowen-Moore.",https://www.facebook.com/AcademyofArtUniversity/photos/a.244035553087/10158768377758088/?type=3,"2,152","2,152",0,"2,025","2,025",0,,1.8%,39,9,7,2,0,0,0,0,0,1,,,29,29,,1,,,,,,,,,,,,,"Student Work, engagement"
1/17/2020 9:35 am PST,82777273087_10157919101538088,Facebook,Post,Link,Academy of Art University,Jennifer Sacoolas,https://www.facebook.com/82777273087/posts/10157919101538088/,"It might be #winterbreak, but we see you overachievers out there! 👀

For those of you who want to get ahead, don’t miss these 5 tips you need to know for getting ready for your next semester! https://bit.ly/2T7qouY",https://bit.ly/2T7qouY,"1,708","1,708",0,"1,673","1,673",0,,1.8%,31,11,10,1,0,0,0,0,0,0,,16,4,20,,1,,,,,,,,,,,,,"blog, student life"
5/9/2020 11:32 pm PDT,1259370587664928768,Twitter,Tweet,Link,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1259370587664928768,There’s no stopping #ArtU’s Spring Show Student Showcase! More details about the virtual 2020 experience here: https://t.co/bDQy7HQH1q,https://bit.ly/2L6tTge,"2,424",,,,,,"20,937",1.8%,44,6,6,,,,,,0,2,,25,11,36,0,,,,,,,,,,,,,,"Student Work, blog, spring show"
8/17/2020 5:59 pm PDT,6701291261997019136,LinkedIn,Post,Link,Academy of Art University,Jennifer Sacoolas,https://linkedin.com/feed/update/urn:li:activity:6701291262898778112,"Asynchronous learning allows students to access courses allows students to access courses around the world, giving them more control over their own academic adventure. Learn more: https://bit.ly/3h7m7RA",https://bit.ly/3h7m7RA,"1,644",,,,,,,1.8%,30,15,15,,,,,,0,0,,15,,15,,,,,,,,,,,,,,,"Online Education, blog"
12/7/2020 7:05 am PST,6741729245355233280,LinkedIn,Post,Link,Academy of Art University,Jennifer Sacoolas,https://linkedin.com/feed/update/urn:li:activity:6741729246638686208,"What will the Bay look like post-COVID?

Visual Development graduate Chaowat “Pong” Lertsachanant recently put his knowledge and affection for San Francisco to use in illustrations for the San Francisco Chronicle’s “Throughline” series. See his work here: https://bit.ly/3lL5LQc ",https://bit.ly/3lL5LQc,"1,205",,,,,,,1.8%,22,15,15,,,,,,0,0,,7,,7,,,,,,,,,,,,,,,alumni success
4/13/2020 7:49 pm PDT,82777273087_10158202765848088,Facebook,Post,Video,Academy of Art University,Tiffany Liao,https://www.facebook.com/82777273087/posts/10158202765848088/,Need more ways to present your work creatively at home? Try using different materials as wallpapers or foam boards to reflect light better. Check out our photography program for more tips: https://bit.ly/2xPZorx,https://www.facebook.com/AcademyofArtUniversity/videos/1360960924112714/,"3,230","3,230",0,"2,871","2,871",0,,1.8%,59,15,11,4,0,0,0,0,0,6,,,38,38,,1,414,414,0,344,344,0,70,70,0,,,,PH
12/18/2020 5:05 pm PST,82777273087_10158883242588088,Facebook,Post,Video,Academy of Art University,Tiffany Liao,https://www.facebook.com/82777273087/posts/10158883242588088/,Happy Holidays! See how the @GhirardelliSQ lights up in holiday spirit at night with Academy of Art University’s Christmas Trees. Check it out before the end of the year ✨,https://www.facebook.com/AcademyofArtUniversity/videos/1143714849365294/,"1,094","1,094",0,"1,018","1,018",0,,1.8%,20,7,7,0,0,0,0,0,0,1,,,12,12,,1,180,180,0,161,161,0,19,19,0,,,,"Holiday, IDS, Partnership"
4/1/2020 5:51 pm PDT,6651279862390759424,LinkedIn,Post,Video,Academy of Art University, ,https://linkedin.com/feed/update/urn:li:ugcPost:6651279862390759424,"#CreativeMind Episode 3 – Michael Buffington
The world of video games still starts with pencil and paper, and Drawaholics mastermind Michael Buffington is an expert in world-building, or as it is called in the world of design and animation, a Concept Art Lead. Get an inside look at this competitive industry! https://bit.ly/2wMMMBk",,"2,453",,,,,,,1.8%,45,20,20,,,,,,2,1,,22,,22,,,635,,,,,,0,,,,,,
2/10/2020 8:13 pm PST,6632848866448416768,LinkedIn,Post,Video,Academy of Art University, ,https://linkedin.com/feed/update/urn:li:ugcPost:6632848866448416768,"It's midterms time for the students from the @Subaru project! After working on the project for weeks, they are finally showcasing their first presentations to the company. Watch episode three: “Midterm Madness” of the Subaru Project series to see what the judges have to say: https://bit.ly/2H159no",,"4,890",,,,,,,1.8%,90,45,45,,,,,,0,0,,45,,45,,,"1,070",,,,,,0,,,,,,
10/25/2020 7:45 am PDT,1320375836877443074,Twitter,Tweet,Link,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1320375836877443074,Check out this @latimes feature on Daniel Buezo &amp; #ARTU men's basketball @AcademyUFashion alumni Weleh Dennis' first Kids of Immigrants brand sneaker collaborating with Vans! 👏 #ArtSchool #BeArtistBeAthlete https://t.co/cgeYIUfCIA,https://lat.ms/3o1ddcf,"1,412",,,,,,"22,320",1.8%,26,5,5,,,,,,0,2,,4,15,19,0,,,,,,,,,,,,,,"Awards & Honors, FSH, athletics"
2/28/2020 3:44 pm PST,1233538378118967299,Twitter,Tweet,Photo,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1233538378118967299,"#ArtU Check-In Time! 

What's your favorite assignment or class so far? Tell us why or share your work in the comments below! 😊 https://t.co/eQdN7ykYNi",https://twitter.com/academy_of_art/status/1233538378118967299/photo/1,"2,549",,,,,,"18,557",1.8%,47,4,4,,,,,,0,1,,,42,42,0,,,,,,,,,,,,,,"ArtU, engagement, student life"
6/22/2020 9:19 am PDT,1275101072680456193,Twitter,Tweet,Video,academy_of_art,Tiffany Liao,https://twitter.com/academy_of_art/status/1275101072680456193,"California by Design is COMING SOON! It will feature design innovations from our industrial school and guest judges like Executive Director Tom Matano. Tune into the premiere at 7pm on KPIX-SAN CBS 5 (Bay Area) or 3pm on KCBS-LA CBS 2 (LA), SAT June 27 https://t.co/3eDSoQg3qf https://t.co/7usQdIYv10","https://bit.ly/3eiFh5p, https://twitter.com/academy_of_art/status/1275101072680456193/video/1","1,570",,,,,,"18,576",1.8%,29,3,3,,,,,,0,1,,3,22,25,0,,159,,,,,,,,,,,,"California by Design, IDS, Partnership"
1/2/2020 6:31 pm PST,6618689980283924480,LinkedIn,Post,Link,Academy of Art University,Jennifer Sacoolas,https://linkedin.com/feed/update/urn:li:activity:6618689980690767873,On the 👀 for UI and UX trends?  So are we! See how these design styles are likely to drive the market in 2020:  https://bit.ly/34BTeFX,https://bit.ly/34BTeFX,"1,948",,,,,,,1.8%,36,10,10,,,,,,0,1,,25,,25,,,,,,,,,,,,,,,
5/8/2020 1:50 pm PDT,6664627506169151488,LinkedIn,Post,Video,Academy of Art University, ,https://linkedin.com/feed/update/urn:li:ugcPost:6664627506169151488,"Have you attended one of #ArtU’s digital workshops? 🙋

Student Kendra Mechling invites students to attend online workshops to help with courses and receive additional feedback for her work! Sign up for the next workshop today! https://bit.ly/3ckwU8k 

Share your online workshop experience with us! ",,"1,352",,,,,,,1.8%,25,13,13,,,,,,0,1,,11,,11,,,380,,,,,,0,,,,,,
9/22/2020 9:39 am PDT,6714211402246180864,LinkedIn,Post,Link,Academy of Art University,Jennifer Sacoolas,https://linkedin.com/feed/update/urn:li:activity:6714211402829168640,"Don’t leave home without it! Fortunately, nowadays, it’s pretty hard to forget Benjamin Anderson’s refillable Handiguru sanitizer dispenser, especially when it’s right on your wrist. Just a squeeze with your fingertip dispenses the ideal amount of hand sanitizer and it works equally well for any gel-based liquid like sunscreen or insect repellent. Full story here: https://bit.ly/3kwHlJL",https://bit.ly/3kwHlJL,"1,781",,,,,,,1.9%,33,11,11,,,,,,0,0,,22,,22,,,,,,,,,,,,,,,"FA, alumni success, website, www"
4/11/2020 6:24 pm PDT,1249146221505249280,Twitter,Tweet,Photo,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1249146221505249280,"In troubling times it’s even more important to stay connected to the ones you love. How are you staying in touch with loved ones? Don’t forget to let them know you care! 

🎨 by Ana Madrid"" https://t.co/ufLFJIQEMu",https://twitter.com/academy_of_art/status/1249146221505249280/photo/1,"1,779",,,,,,"19,218",1.9%,33,6,6,,,,,,1,1,,,25,25,0,,,,,,,,,,,,,,"engagement, student artwork"
9/11/2020 4:51 pm PDT,82777273087_10158653523503088,Facebook,Post,Photo,Academy of Art University,Jennifer Sacoolas,https://www.facebook.com/AcademyofArtUniversity/photos/a.244035553087/10158653523503088/?type=3,ARTS THREAD and i-D have launched the first ever #globaldesigngraduatesshow2020 in partnership with Gucci. Congratulations to BFA stylist Victoria Zhong who was selected as one of the TOP 100 GRADUATES OF 2020! Vote for Academy of Art University School of Fashion students here: https://bit.ly/3k2yG1o,https://www.facebook.com/AcademyofArtUniversity/photos/a.244035553087/10158653523503088/?type=3,"1,985","1,985",0,"1,787","1,787",0,,1.9%,37,13,11,1,0,1,0,0,7,0,,1,16,17,,2,,,,,,,,,,,,,"Awards & Honors, FSH, alumni success"
3/3/2020 5:29 pm PST,6640780285929750530,LinkedIn,Post,Video,Academy of Art University, ,https://linkedin.com/feed/update/urn:li:ugcPost:6640780285929750530,Communications is all about using different media platforms to tell a story. Our featured athlete Ryan Gamboa is especially confident of social media and its role in the future of media. See what he thinks: https://bit.ly/3cpmjK5,,"2,252",,,,,,,1.9%,42,7,7,,,,,,2,0,,33,,33,,,517,,,,,,0,,,,,,
3/12/2020 10:37 am PDT,82777273087_10158084915823088,Facebook,Post,Link,Academy of Art University,Jennifer Sacoolas,https://www.facebook.com/82777273087/posts/10158084915823088/,We are in awe of #ArtU Illustration MFA alumna Marisa Ware’s paper sculptures! See her work here: https://bit.ly/2wRiexS,https://bit.ly/2wRiexS,"1,928","1,928",0,"1,880","1,880",0,,1.9%,36,11,10,1,0,0,0,0,0,0,,14,11,25,,0,,,,,,,,,,,,,"ILL, alumni success, website"
2/24/2020 2:08 pm PST,6637830416994840576,LinkedIn,Post,Video,Academy of Art University, ,https://linkedin.com/feed/update/urn:li:ugcPost:6637830416994840576,"It’s almost time for final Subaru project presentations! Mixed with nerves and excitement, students are working extra hard day and night to finish their designs on time. See how they prepare for the big challenge in episode five: “Time Crunch” of the Subaru Project! https://bit.ly/2HNIgV3",,"4,603",,,,,,,1.9%,86,38,38,,,,,,1,0,,47,,47,,,980,,,,,,0,,,,,,
2/14/2020 9:55 am PST,82777273087_10158006479023088,Facebook,Post,Photo,Academy of Art University,Jennifer Sacoolas,https://www.facebook.com/82777273087/posts/10158006479023088/?substory_index=0,"“Love is a canvas furnished by nature and embroidered by imagination.” ~ Voltaire. Happy Valentine’s Day!  

🎨 titled “Valentine” by #Illustration’s Alexandra Gold.",https://www.facebook.com/AcademyofArtUniversity/photos/a.244035553087/10158006479023088/?type=3,"2,137","2,137",0,"2,085","2,085",0,,1.9%,40,23,16,7,0,0,0,0,0,1,,,16,16,,1,,,,,,,,,,,,,"Holiday, ILL"
6/8/2020 3:29 pm PDT,6675886362933157888,LinkedIn,Post,Link,Academy of Art University,Tiffany Liao,https://linkedin.com/feed/update/urn:li:activity:6675886363629416449,"What happens when you have an idea?💡 School of Architecture is hosting an interactive workshop that shows how our thoughts can become architecture experience tomorrow 6/9 at 7PM. Prepare to learn something new!
https://bit.ly/2Y7roQA",https://bit.ly/2Y7roQA,"1,282",,,,,,,1.9%,24,15,15,,,,,,0,0,,9,,9,,,,,,,,,,,,,,,"ARCH, Faculty, workshop"
10/15/2020 10:44 am PDT,1316796995487567873,Twitter,Tweet,Photo,academy_of_art,Jennifer Sacoolas,https://twitter.com/academy_of_art/status/1316796995487567873,"In what video game would these be most useful? Let us know in the comments below 👇

Artwork by Visual Development’s Ben Meng. See his portfolio here: https://t.co/78vo8PukPR https://t.co/tVVCwMRcaO","https://bit.ly/2SFyARE, https://twitter.com/academy_of_art/status/1316796995487567873/photo/1",801,,,,,,"18,475",1.9%,15,0,0,,,,,,0,0,,0,15,15,0,,,,,,,,,,,,,,"Curriculum, Industry Spotlight, blog"
